timestampMs,result
1,1533877212923,1
2,1533877217736,0
3,1533877230926,0
4,1533877238008,0
5,1533877242507,0
6,1533877254022,0
7,1533877256599,1
8,1533877264688,1
9,1533877276913,0
10,1533877282519,1
11,1533877292275,0
12,1533877292711,0
13,1533877301273,1
14,1533877306309,0
15,1533877309439,0
16,1533877313600,1
17,1533877316043,1
18,1533877321029,1
19,1533877330249,0
20,1533877333184,0
1,1533976939292,0
2,1533976942011,0
3,1533976953421,0
4,1533976956722,1
5,1533976959454,1
6,1533976963494,0
7,1533976974664,0
8,1533976976628,1
9,1533976984281,0
10,1533976987977,1
11,1533976992816,0
12,1533977000335,1
13,1533977014782,0
14,1533977021091,1
15,1533977026526,1
16,1533977040092,0
17,1533977045042,1
18,1533977047797,0
19,1533977050590,0
20,1533977053455,1
1,1534123152439,0
2,1534123157172,0
3,1534123163511,0
4,1534123168260,0
5,1534123172196,1
6,1534123185530,0
7,1534123187292,1
8,1534123199331,1
9,1534123205372,1
10,1534123207739,1
11,1534123212721,1
12,1534123222026,1
13,1534123229060,1
14,1534123234677,1
15,1534123237667,1
16,1534123243380,0
17,1534123246950,1
18,1534123256539,0
19,1534123265473,0
20,1534123269789,1
1,1534262672565,0
2,1534262679377,1
3,1534262683597,0
4,1534262691216,0
5,1534262694130,1
6,1534262705213,0
7,1534262717463,0
8,1534262728550,0
9,1534262733716,0
10,1534262748718,0
11,1534262757376,0
12,1534262764723,0
13,1534262769940,1
14,1534262782076,1
15,1534262789611,0
16,1534262793890,1
17,1534262802387,1
18,1534262804127,1
19,1534262810018,0
20,1534262813938,1
1,1534657349384,1
2,1534657355227,0
3,1534657369076,1
4,1534657374148,1
5,1534657377700,0
6,1534657386331,0
7,1534657392948,1
8,1534657395782,1
9,1534657398542,1
10,1534657410057,0
11,1534657413220,1
12,1534657418335,0
13,1534657424718,1
14,1534657429086,1
15,1534657431262,1
16,1534657436559,1
17,1534657439847,1
18,1534657445635,0
19,1534657451802,0
20,1534657458447,1
1,1534962146976,1
2,1534962152413,1
3,1534962155908,1
4,1534962159544,1
5,1534962163367,1
6,1534962167522,1
7,1534962174369,1
8,1534962179832,1
9,1534962185620,1
10,1534962190200,1
11,1534962198850,0
